name,smiles
128520.0,COc1c(N)nnn1C
100461.0,CC(O)C#CC(O)CO
2184.0,CC1CC(=O)C1O
62178.0,C#CC(C)CCCC#N
94301.0,CC1OCC12C[C]([NH])O2
41799.0,C1=CC2CCC(CC1)C2
53910.0,C#CC(C(N)=O)C1CO1
99601.0,C#CC(CC)C1(C)CO1
26413.0,CC(C)Oc1ccoc1
23913.0,NC1(C(F)(F)F)CC1
107762.0,COC12CC3C(C1)C3O2
16159.0,CCC12C=CCC1C2
30222.0,CC1Cn2c(O)cnc21
76443.0,CC1C(C)C1(O)CC=O
48646.0,O=CC12CCC(O1)C2=O
20054.0,C1=CCC(C2CO2)C1
56949.0,C#CC1CC1C(O)C#N
73062.0,CC12OCC1C2NC=O
8482.0,CC1CC2(C)CC12C
126123.0,CCC(=O)c1conn1
54678.0,[NH]C1=C(C(=O)O)[CH]CN1
15674.0,CC1=CCOC1CO
106588.0,CCC12C=CC(C=C1)C2
80310.0,CC1C2C=C(C#N)CN12
112398.0,O=C1CC(CO)C(=O)N1
15041.0,CN=C(C#N)N1CC1
25355.0,N#Cc1coc(C=O)c1
30968.0,CNC1=C(O)OC([NH])O1
130617.0,C#Cc1noncc1=O
111107.0,COC1C2CC(C)C1C2
133567.0,FC(F)(F)C1C2CN1C2
17758.0,CC12C3C4C3C1(O)C42
120547.0,CCC1CC(COC)O1
25673.0,CC#Cc1cnccn1
86355.0,CC1OC(C)C1CC#N
125713.0,CC1=NOC([NH])=C[C]1N
45617.0,O=C1CC=C(C2CC2)C1
114749.0,COC1CC2OC2C1O
118452.0,COCC(CN)C(=O)O
38509.0,C1OCC2=C1CC1NC21
95118.0,C#CC12CC1OCC2O
89856.0,OC1C=CCC2(CO2)C1
114944.0,COC1CN=C(C=O)O1
117177.0,CCOC(=O)C(C)NC
90610.0,CC12CC1C1C(O)CC12
75994.0,CN1[C]([NH])C(N)C1C#N
72753.0,OC12COC13COC3C2
115324.0,COC1OCC(O)C1=O
105011.0,C#CC(C)C1(OC)CC1
112650.0,COC1O[C](C)[N]C1C
52316.0,[NH][CH]OCC1COCO1
105975.0,CCC12C3C4N1C4(C)C32
104482.0,CNC1(C=O)C2CC1O2
23375.0,CC(=NO)C(C)C1CO1
45936.0,O=C1CCC(=O)C(=O)N1
52968.0,CC#CC12CC1C1CC12
102890.0,C#CC(CC)OCC#N
130831.0,O=CC(=O)n1cccn1
24940.0,O=C1Cc2ocnc2N1
40617.0,C1=CC2CC1C2C1CC1
54887.0,N=C(N)N1C=NCC1=O
11607.0,NC(=O)OCC1CO1
130693.0,O=C1NCc2cn[nH]c21
44147.0,O=C1CN2C1C2C1CO1
41887.0,C1=NCC2COC2CO1
33388.0,C#CC(C#C)(C#N)C#N
71008.0,OC12COC3(COC13)C2
103687.0,O=CC1CC(O)(CO)C1
79774.0,CN1C2C3CC4C1C2N34
98841.0,CN1CCC1C(=O)CO
52430.0,C#CCCCCCC=O
97720.0,CCC#CC12CCC1O2
121401.0,CCOC1CCCOC1
106720.0,COC12CC1(O)C1OC12
62375.0,CC1(C#N)C2C=CC1O2
90408.0,CC1OC2C(C)(C)C12C
1315.0,CC1CCC1(C)C
40336.0,C1OC1C12C3C4C3N1C42
88606.0,CN1CC1C1C(O)C1O
85458.0,O=C1CC(O)C2(CO2)C1
70667.0,CC12OC1CCC2C=O
104764.0,CCC1(CC)CN1C=O
3352.0,C1=NC2CCC2O1
100064.0,COC(C)(C)C1CCO1
53095.0,CC#CC1C(O)C1(C)C
84519.0,CC1C=CC2=CCCC21
132083.0,O=c1ocnc(O)c1F
27143.0,O=COc1ocnc1O
87474.0,CC1OC12C1OC2C1=O
105931.0,OCC12C3OC4C3C1C42
61420.0,CC(N=C(N)N)C(=O)O
36647.0,N#CCNC1C2CC1O2
23023.0,CC(=NO)C1OC1CO
5792.0,c1nc(C2CO2)c[nH]1
28917.0,Nc1c(O)cccc1O
5197.0,O=CNc1ccoc1
8703.0,CCC(O)(C=O)CC
58526.0,CC(C)C1(O)CC=CC1
112936.0,CC(=O)C1CC(CO)C1
1597.0,C#CC(O)C(N)=O
69122.0,O=CC12COCC1(O)C2
101103.0,CCC(O)C12CC(C1)O2
68212.0,CC12C=C(C=O)C(C1)O2
86659.0,CC1=CC(C)CC1C=O
76232.0,CC1=CCC(C)(O)C1C
75312.0,C#CC12OC1CC=C2C
109101.0,CCC1=CNC(=O)C1=O
65466.0,CC1(C=O)NC1CC=O
25408.0,O=Cc1cncoc1=O
80634.0,CN1C2CC(C2)C1C#N
36746.0,C#CCOC=NC1CC1
41989.0,C1=C2CCOC2OCC1
75268.0,C#CC1C2CN=C(C)N12
24737.0,C#CC(=O)c1ccco1
66689.0,CC12C3CC4N3C1C42O
94697.0,CC1COC2(C)CN1C2
71665.0,CC12CC3C4C(CC31)C42
7561.0,CC(=O)C1(C)CCO1
84090.0,CC1=CC(C)C(O)C1C
91948.0,CC1CC2NC2C12CO2
1486.0,CCC(O)CC=O
57314.0,CC(C)(C)C(=O)NC=O
20414.0,C1Cc2nonc2O1
78262.0,CC1C2C1C1(C)C(C)N21
39774.0,C1NC12C1NC2C2NC21
26274.0,CC(O)c1ccccc1
81786.0,CC12CC1C(O)C21CO1
117398.0,CCOC(=N)NC=NC
130682.0,O=c1[nH]c2oncc2o1
90970.0,CC1CC2C3CC2(C1)O3
20209.0,C1CC2C3COC1C23
98881.0,O=C(CO)C1C=CCO1
71031.0,CC12NC34CCN(C13)C24
78234.0,CC1=CC(O)C2C1N2C
1354.0,CC1(C)OCCO1
57421.0,CC(C)(C)C1CC1(C)O
130108.0,Nc1nnc2[nH]cnn12
869.0,Cc1cnc(O)o1
130867.0,O=Cc1cc(C=O)on1
42513.0,N#CC1NC2(CC2)C1=O
41760.0,C1=CCC2OCC2C=C1
131793.0,OCCc1cc(O)[nH]n1
43702.0,[NH][C]1CC2(O1)C1CC2C1
104141.0,O=C1CCC(O)(CO)C1
